Var1,i_dc,i_a
0.00022,9.35983155422538,-9.02404329144689
0.000225,-192.730185321591,-6.64195489773359
0.00023,-229.239747825456,-4.26621000949581
0.000235,-238.162674743123,-1.89666863726883
0.00024,-39.7031289216461,-1.90635876165063
0.000245,-6.63896185030279,-1.91898088464885
0.00025,-1.12367613371771,-1.934520174733
0.000255,-0.203696009267134,-1.95296176587202
0.00026,-0.0502382424831183,-1.97429075875432
0.000265,-199.893968577065,0.346164448516622
0.00027,-235.984604785267,2.65990406133169
0.000275,-244.79314788906,4.96706849787664
0.00028,-48.5479983808827,9.28768849008897
0.000285,-19.45344548176,13.6083695667674
0.00029,-3.25893511276487,13.5433740582678
0.000295,-0.559869001506939,13.4754638241776
0.0003,-0.109649864318247,13.4046545565644
0.000305,-0.0345508251655959,13.3309619807163
0.00031,-0.0220238906036021,13.2544018535502
0.000315,-14.6610870864997,17.5688313615892
0.00032,-20.6949318342131,21.8825629238821
0.000325,-214.208864133799,24.145114432483
0.00033,-249.192026874757,26.4003936739006
0.000335,-257.76286137905,28.6485380477689
0.00034,-42.9692672467685,28.5488422660011
0.000345,-7.18374510315041,28.4462712280641
0.00035,-1.21452232748501,28.340841185221
0.000355,-0.218822994020485,28.2325684172707
0.00036,-0.0527348448779605,28.1214692312735
0.000365,-0.0250304241126855,28.0075599602784
0.00037,-215.25689865482,30.220341034213
0.000375,-253.822574156054,32.4254919776142
0.00038,-72.9045622396303,36.7102607038323
0.000385,-12.17102698302,36.5803001831053
0.00039,-2.0464551565893,36.447543030745
0.000395,-0.357620646974007,36.3120059710141
0.0004,-0.0759137215621174,36.1737057503398
0.000405,-0.0289234501816975,36.0326591357111
0.00041,-0.0210852133772106,35.888882913404
0.000415,-0.0197777521347521,35.7423938877083
0.00042,-33.3669375755074,40.0155554711766
0.000425,-224.481595716935,42.1698954009683
0.00043,-258.990022013207,44.3162530170751
0.000435,-43.1728946172813,44.1534205955267
0.00044,-7.21771127340742,43.9878937389162
0.000445,-1.22018807230887,43.819689642022
0.00045,-0.219768071554483,43.6488255132888
0.000455,-0.0528924890307678,43.4753185735513
0.00046,-0.0250567200471892,43.2991860547603
0.000465,-0.0204135599934432,43.120445198712
0.00047,-219.8115910693,45.224371828142
0.000475,-77.8641458554824,49.4696443576542
0.00048,-57.7585967538807,53.7131387391065
0.000485,-9.64176293193655,53.5205448967681
0.00049,-1.62455994101266,53.3253560180426
0.000495,-0.287246194453319,53.1275895134145
0.0005,-0.0641748740935841,52.9272627998177
0.000505,-0.026965345586492,52.7243932990527
0.00051,-0.0207585907009703,52.5189984365323
0.000515,-0.01972326967645,52.3110956400307
0.00052,-47.1372029761981,56.5393356439155
0.000525,-58.5087148481965,60.7649683401309
0.00053,-232.826148486046,62.8033607763556
0.000535,-38.8083185065663,62.581274584006
0.00054,-6.48967586782462,62.3566960036111
0.000545,-1.09874774493741,62.1296426382689
0.00055,-0.199511154118653,61.9001320897456
0.000555,-0.0495135233175574,61.6681819572382
0.00056,-0.0244930898774669,61.4338098361418
0.000565,-0.0203195433701637,61.1970333168195
0.00057,-221.173884790899,63.1910789798369
0.000575,-93.0240527269672,67.3885781650485
0.00058,-75.1767113773281,71.5833580573049
0.000585,-12.5442227968806,71.3320969129718
0.00059,-2.10870627991752,71.0784495466786
0.000595,-0.368004478248976,70.8224337292312
0.0006,-0.0776458019580828,70.5640672230408
0.000605,-0.0292123707556868,70.3033677805842
0.00061,-0.0211334069072764,70.0403531431937
0.000615,-0.0197857911140642,69.7750410398501
0.00062,-61.6476143196909,73.9512380085387
0.000625,-75.3924696859964,78.1238788512452
0.00063,-236.68327310296,80.0482803731541
0.000635,-39.4514994986495,79.7682139712455
0.00064,-6.5969620103194,79.4858712887585
0.000645,-1.1166436661558,79.201270239849
0.00065,-0.202496292618093,78.9144287226163
0.000655,-0.0500114609049831,78.6253646179132
0.00066,-0.0245761486239644,78.3340957881593
0.000665,-0.0203333980447837,78.0406400761599
0.00067,-222.125846459255,79.9197881237268
0.000675,-107.075761936955,84.0597525708555
0.00068,-91.3622173664679,88.1960634910663
0.000685,-15.2412862832955,87.887624804527
0.00069,-2.55859136823881,87.5770237740134
0.000695,-0.443047796188678,87.2642784298426
0.0007,-0.0901634419278866,86.9494067793002
0.000705,-0.0313003822800516,86.6324268051498
